"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","5.31","350212097.34","n/a","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","7.8472","72809484.0216","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","10.45","62583660.15","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","30.33","737702243.91","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"FUBC","1st United Bancorp, Inc. (FL)","7.62","261280968.42","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fubc",
"VNET","21Vianet Group, Inc.","25.46","1517840316.36","n/a","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"JOBS","51job, Inc.","75.28","2220985313.04","n/a","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"EGHT","8x8 Inc","10.39","913019691.5","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","19.1","420237034.9","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","34.74","1008042277.14","n/a","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","29.05","1067543605.45","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ASTM","Aastrom Biosciences, Inc.","3.43","15024435.86","n/a","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/astm",
"ABAX","ABAXIS, Inc.","38.64","860551440","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
